Brand,Project,Brand Owner,Native Web 3,Twitter Followers,People,Utility,Description,Notes,Date Launched,Sector,Total NFTs,Initial Sale Revenue $,Royalty Revenue $,Blockchain,Onchain Ramp,Contract Address,Royalty,Marketplace,Marketplace URL,URLs,Twitter URL,,,,,,,,,,,,,,,,,,,,,
Prada,Limited edition - Timecapsule,,,,NOTE: Names of people mentioned in the articles and what they do at the respecrive place.,,"Launched for the first time on December 5, 2019, Prada Timecapsule is a monthly online event. For 24 hours, each first Thursday, an exclusive item which forms part of this collection is made available on prada.com in very limited quantities in selected markets. Now Prada Timecapsule is renewed by entering a new phase and expanding its creative presence in the Web3 with the Timecapsule NFT Collection: each limited edition physical product will be accompanied by a gifted NFT.",,"June, 2022",Fashion,,,,Ethereum,,0x0e220A4F3957C17a2e780922DBC13Cb2C9aa4274,10%,Opensea,https://opensea.io/collection/pradatimecapsule?search[isSingleCollection]=true,https://www.voguebusiness.com/technology/prada-expands-web3-offer-with-product-linked-nft-drop-and-discord-launch,,,,,,,,,,,,,,,,,,,,,,
Adidas X Bored Ape Yacht Club,Into the Metaverse,,,,,"access to special physical goods, like a hoodie and the tracksuit worn by the Bored Ape that Adidas owns, and upcoming digital experiences.","Gives the consumers access to virtual wearables for The Sandbox, a blockchain-based gaming world. NFT buyers will also be able to purchase exclusive merchandise drops including a hoodie featuring a blockchain address, a tracksuit and Gmoney’s iconic orange beanie.",,"January,2022",Fashion,,$23 Million,,Ethereum,,0x28472a58A490c5e09A238847F66A68a47cC76f0f,10%,Opensea,https://opensea.io/collection/adidasoriginals ,https://www.theindustry.fashion/adidas-announces-into-the-metaverse-nft-launch-alongside-streetwear-drop/,,,,,,,,,,,,,,,,,,,,,,
Superplastic X GUCCI,SuperGucci,,,,,,"SUPERGUCCI is a two-part series of ultra-limited NFTs co-created by Gucci's Creative Director where each NFT incorporates house codes found in the Gucci Aria collection, and unlocks an exclusive 8-inch tall white ceramic SUPERGUCCI sculpture, hand-crafted by ceramicists in Italy. Limited to 500 hand numbered pieces.",,"February,2022",Fashion,,,,Ethereum,,0x78d61C684A992b0289Bbfe58Aaa2659F667907f8,5%,Opensea,https://opensea.io/collection/superplastic-supergucci,https://www.highsnobiety.com/p/gucci-superplastic-supergucci-nft-collab/,,,,,,,,,,,,,,,,,,,,,,
Nike,Cryptokicks,,,,,,"A digital fashion brand RTFKT Studios revealed Nike CryptoKicks, a new collection of customizable non-fungible token (NFT) sneakers.",,April 2022,Fashion,,,,Ethereum,,0xF661D58cfE893993b11D53d11148c4650590C692,10%,Opensea,https://opensea.io/collection/rtfkt-nike-cryptokicks,https://www.nytimes.com/2022/05/26/style/nike-nft-sneaker.html,,,,,,,,,,,,,,,,,,,,,,
Dolce & Gabbana,Collezione Genesi,,,,,,"Collezione Genesi was the first luxury NFT collection that involves both digital and physical works, truly bridging the physical and the metaphysical.This 9-piece, one-of-a-kind collection was personally designed by Domenico Dolce and Stefano Gabbana exclusively for UNXD.","""The Dog Crown"" - highest price, $1.25 Million; marketplace UNXD, polygon network","September, 2021",Fashion,,$5.7 Million,,Ethereum,,0xd71B53FE1Df51075c5a965956cdc87421C2fFeD7,10%,Opensea,https://opensea.io/collection/dolce-gabbana-collezione-genesi,https://www.nytimes.com/2021/10/04/style/dolce-gabbana-nft.html,,,,,,,,,,,,,,,,,,,,,,
FEWOCiOUS X RTFKT,Next-gen sneakers,,,,,,"Creator led organisation, formed by three friends at the beginning of the COVID era, RTFKT creates Next-gen sneakers and collectibles for the Metaverse.",,"February, 2021",Fashion,,$3.1 Million,,Ethereum,,0x2250D7c238392f4B575Bb26c672aFe45F0ADcb75,10%,Opensea,https://opensea.io/collection/fewocious-x-rtfkt,https://hypebeast.com/2021/3/rtfkt-studios-fewocious-sale-nfts,,,,,,,,,,,,,,,,,,,,,,
10KTF X Gucci,10KTF Gucci Grail,,,,,,A unique collection of personalized NFTs envisioned by Alessandro Michele and crafted by digital artisan Wagmi-san.,,"March, 2022",Fashion,,,,Ethereum,,0x572E33FFa523865791aB1C26B42a86aC244Df784,5%,Opensea,https://opensea.io/collection/10ktf-gucci-grail,https://www.gucci.com/us/en/st/stories/article/10ktf-gucci-grail,,,,,,,,,,,,,,,,,,,,,,
Burberry X Mythical Games,Blankos Block Party,,,,,,"Blankos Block Party is a multiplayer party game featuring digital vinyl toys (called Blankos) that live on a blockhain. In other words, it's basically like a virtual safe of one's acquisition of digital toys. Burberry is the first luxury brand making its debut in the game.",,"August, 2021",Fashion,,,,Ethereum,,0x4bBCc727822b99330BF164C0972Fcf1b537CAA78,5%,Opensea,https://opensea.io/collection/blankosblockparty,https://www.voguebusiness.com/technology/burberry-brings-back-the-blankos-block-party-nft-based-game,,,,,,,,,,,,,,,,,,,,,,
Tesla,,,,,,,"You can now bid on a physical and digital NFT comprised of an Elon Musk-signed Tesla Model X toy car. Autographia, which offers authentic autographed memorabilia, has teamed up with HODL Token’s HODL Diamond Marketplace to offer this one-of-one signed model Tesla that sees the tech and automotive entrepreneurs’ signature grace the frunk of the Model X in blue ink.","Alongside the physical copy of the toy car itself, you will also be able to own the digital NFT of this model’s existence as well as the exclusive video proof of the real toy car being signed by Musk, and a Beckett letter of authentication that identifies this signed piece of memorabilia as the real thing.","August, 2021",Automative Manufacturer,,,,Ethereum,,0x495f947276749Ce646f68AC8c248420045cb7b5e,10%,Opensea,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/67007121404877776609567418010973606165401827740649466717043251057726834343937,https://hypebeast.com/2021/9/elon-musk-tesla-model-x-toy-car-nft-diamond-marketplace-hodl-signed-signature,,,,,,,,,,,,,,,,,,,,,,
Hyundai ,Hyundai X Meta Kongz,,,,,,"The 1975 PONY*, the iconic heritage of Hyundai Motor Company, is coming together with the 2021 Meta Kongz, which is at the forefront of the trends in the digital world. A limited collaboration collection of 30 unique NFTs will be issued to commemorate this memorable first encounter.",,"May, 2022",Automative Manufacturer,,,,Ethereum,,0xd2033d5C5320f620251DffADFde578548A456390,5%,Opensea,https://opensea.io/collection/hyundai-metakongz-official,https://www.hyundai.com/worldwide/en/brand/hyundai-nft,,,,,,,,,,,,,,,,,,,,,,
Hyundai,Metamobility - Shooting star,,,,,,"10,000 MobEDs compose the first Metamobility NFT collection of Hyundai Motor Company. Each MobED NFT has an unique design and rarity, unveiled as generative art.",,"May, 2022",Automative Manufacturer,,,,Ethereum,,0xe8Bfe9E1CA49E7DC0C6D01bCA8ae5EF5A30C8D3B,5%,Opensea,https://opensea.io/collection/hyundai-metamobility-official,https://www.hyundai.com/worldwide/en/company/newsroom/hyundai-motor-launches-first-exclusive-metamobility-nft-collection%2C-%E2%80%98shooting-star%E2%80%99-0000016827,,,,,,,,,,,,,,,,,,,,,,
Hyundai ,Metamobility - IONIQ 6,,,,,,"IONIQ 6 NFT is the 2nd official NFT collection of the Hyundai Metamobility universe. The collection is released to digitally redesign the electrified experiences of IONIQ 6, a new addition to Hyundai’s IONIQ line up. Welcoming all electric car enthusiasts to become a member of Hyundai Metamobility universe!",,"July, 2022",Automative Manufacturer,,,,Ethereum,,0x87660380eFC270677f62D8D1b45cC1D0b6C60F47,5%,Opensea,https://opensea.io/collection/hyundai-ioniq-6-official,https://www.hyundai-nft.com/2nd-collection,,,,,,,,,,,,,,,,,,,,,,
Audi,The Art of Progress,,,,,,"Audi is about to launch a non-fungible token (NFT) which is unusual in several ways. The NFTs are fractions of a single piece of art, The Art of Progress. Ouchhh Studio created the animated art using artificial intelligence (AI) based on the flow of people at the German internet marketing event OMR. ",,"May, 2022",Automative Manufacturer,,,,Ethereum,,0xfF1F1A1125184c5ad03a508Ee210DC5eF3741B09,10%,Opensea,https://opensea.io/collection/unseen-universe-official,https://www.ledgerinsights.com/audi-launches-novel-fractional-nft/,,,,,,,,,,,,,,,,,,,,,,
Chevrolet,Own the color,,,,XSULLO is a veteran digital artist with over 10 year of experience working with some of the biggest commercial brands and movie studios around.,,"Few drivers will own a Corvette Z06, but only one will have the opportunity to not only get one in Minted Green, but to ""Own the Color."" Chevrolet is offering drivers an opportunity to bid on a 1-of-1 piece of NFT artwork created by xsullo, along with a first—and only—of its kind 2023 Corvette Z06 in Minted Green.","The auction was held from June 20-24. SuperRare, the NFT marketplace that oversaw the auction,","June, 2022",Automative Manufacturer,,,,Ethereum,,0x362373ad01f3a0ef671f757bcb7276cc4a3fb9bf,,SuperRare,https://www.superrare.com/0x362373ad01f3a0ef671f757bcb7276cc4a3fb9bf/own-the-color--1,https://www.chevrolet.com/upcoming-vehicles/2023-corvette-z06/nft-terms,,,,,,,,,,,,,,,,,,,,,,
University of Iowa basketball player Luka Garza,,,,,,,"Garza sold his first NFT shortly after playing his final game for the University of Iowa’s Hawkeyes. It sold at auction on the NFT marketplace OpenSea.io for $41,141.",,"April, 2021",Sports Athlete,,,,Ethereum,,0x495f947276749Ce646f68AC8c248420045cb7b5e,0%,Opensea,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/17926201474292735514708432151270353285852694365171529238292388180991856869377,,,,,,,,,,,,,,,,,,,,,,,
